feature_name,source,available_as_of,existing_or_proposed,coverage_mechanism,existing_stage2_1_mechanism,formula_or_definition,preprocess_policy,missing_rate,mutual_exclusion_group,exact_duplicate_group,coverage_status,recommended_role,reason
break_amount_ratio_vs_board_days,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,D1_VOLUME_ACTIVITY,break_amount / mean(板日 amount),FOLD_CLIP_Z,0.006,ME01_BREAK_ACTIVITY_RATIO,,EXISTING_REUSE,SENSITIVITY_ONLY,"ME01 金额替代表达 (MUTUALLY_EXCLUSIVE_EXPRESSION), 不得与 volume 版同入模型"
break_volume_abnormality,v004c-factor-dictionary-0.1 (预声明派生),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,PREDECLARED_DERIVED,"abs(log(max(break_volume_ratio_vs_board_days, 1e-6)))",FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,|log(volume_ratio)|: 同一机制的再表达
break_volume_ratio_vs_board_days,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,D1_VOLUME_ACTIVITY,break_volume / mean(断板前 streak 个板日 volume),FOLD_CLIP_Z,0.0,ME01_BREAK_ACTIVITY_RATIO,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,D1 vol / mean(板日 vol) (ME01 canonical): D1 相对本轮连板的量能放大
d1_amount,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column d1_amount,NO_DIRECT_MODEL_INPUT,0.0,,ED09,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对额, 只允许派生后使用"
d1_up_bar_volume_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,D1_VOLUME_ACTIVITY,Σvolume(close>open) / Σvolume,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,"阳线量占比; 与 down_bar 近互补 (up+down+doji=1), 紧凑模型只留一种"
d1_volume,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column d1_volume,NO_DIRECT_MODEL_INPUT,0.0,,ED08,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对量, 只允许派生后使用"
down_bar_volume_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,D1_VOLUME_ACTIVITY,Σvolume(close<open) / Σvolume,FOLD_CLIP_Z,0.0,,ED12,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,"阴线量占比 (canonical 名), 与 up_bar 近互补"
break_turnover_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,D1_VOLUME_ACTIVITY,copied unchanged from source v0.2.2 column break_turnover_ratio,NO_DIRECT_MODEL_INPUT,1.0,,,NOT_NEEDED,NO_MODEL_INPUT,"100% 缺失 (日线缓存无 turnover_rate), 字段不可用"
break_amount,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column break_amount,NO_DIRECT_MODEL_INPUT,0.0,,ED09,REDUNDANT,NO_MODEL_INPUT,ED09: 与 d1_amount 精确重复
break_volume,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column break_volume,NO_DIRECT_MODEL_INPUT,0.0,,ED08,REDUNDANT,NO_MODEL_INPUT,ED08: 与 d1_volume 精确重复
d1_down_bar_volume_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VOLUME_ACTIVITY,D1_VOLUME_ACTIVITY,copied unchanged from source v0.2.2 column d1_down_bar_volume_ratio,NO_DIRECT_MODEL_INPUT,0.0,,ED12,REDUNDANT,NO_MODEL_INPUT,ED12: 与 down_bar_volume_ratio 精确重复 (333/333 相等)
d1_close_to_vwap_raw,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VWAP_POSITION,D1_VWAP_POSITION,d1_close / d1_vwap - 1,FOLD_CLIP_Z,0.0,ME05_VWAP_GAP,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,close / vwap - 1 (ME05 canonical): D1 收盘相对日内成本线
d1_vwap,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VWAP_POSITION,RAW_SCALE_SOURCE,5min 累计额/累计量 (手数自适应) 末值,NO_DIRECT_MODEL_INPUT,0.0,,,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对 VWAP, 只允许派生后使用"
d1_vwap_to_close_gap,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_VWAP_POSITION,D1_VWAP_POSITION,(d1_vwap - d1_close) / d1_close (正=卖压),FOLD_CLIP_Z,0.0,ME05_VWAP_GAP,,REDUNDANT,NO_MODEL_INPUT,"NP05: (vwap-close)/close 与 close_to_vwap 反向表达 (spearman -1.0), 模型只留一种"
d2_open_daily,v004c-d1-dataset-0.1,D3_CLOSE,EXISTING,FORBIDDEN,,,,0.0,,,FORBIDDEN,NO_MODEL_INPUT,"D2 开盘, 未来信息"
d3_high_daily,v004c-d1-dataset-0.1,D3_CLOSE,EXISTING,FORBIDDEN,,,,0.0,,,FORBIDDEN,NO_MODEL_INPUT,"D3 最高, 未来信息"
recognition_score,v004c-d1-dataset-0.1,D1_CLOSE,EXISTING,FORBIDDEN,,,,0.1021,,,FORBIDDEN,NO_MODEL_INPUT,"旧模型/辨识度输出, 禁止作为 v004c 输入"
target7_daily_d2open_d3high,v004c-d1-dataset-0.1,D3_CLOSE,EXISTING,FORBIDDEN,,,,0.0,,,FORBIDDEN,NO_MODEL_INPUT,"D3 标签, 未来信息"
v002_rank,v004c-d1-dataset-0.1,D1_CLOSE,EXISTING,FORBIDDEN,,,,0.6907,,,FORBIDDEN,NO_MODEL_INPUT,"旧模型输出, 禁止作为 v004c 输入"
v004a_probability,v004c-d1-dataset-0.1,D1_CLOSE,EXISTING,FORBIDDEN,,,,0.2763,,,FORBIDDEN,NO_MODEL_INPUT,"旧模型输出, 禁止作为 v004c 输入"
board_stage_volume_price_decomposition,PROPOSED (data/cache/daily),D1_CLOSE,PROPOSED,RECENT_7D_PATH,,"(提案, 未实现) 第一/二/三板与 D1 逐阶段量价结构",,,,,DEFER_NOT_REQUIRED_FOR_V001,NO_MODEL_INPUT,"第一/二/三板逐阶段量价重建复杂, 数据质量不稳定; V001 不需要"
recent_7d_close_position,PROPOSED (data/cache/daily),D1_CLOSE,PROPOSED,RECENT_7D_PATH,,(close(D1) - 7d_low) / (7d_high - 7d_low); 7d_high==7d_low 置空,,0.0,,,NEW_REQUIRED,M2_PRIMARY_CANDIDATE,(close - 7d_low)/(7d_high - 7d_low); 7d_high==7d_low 置空
recent_7d_cumulative_return,PROPOSED (data/cache/daily),D1_CLOSE,PROPOSED,RECENT_7D_PATH,,"close(D1) / close(T-6) - 1, T-6 = D1 前第 6 个交易日 (窗口 7 行)",,0.0,,,NEW_REQUIRED,M2_PRIMARY_CANDIDATE,最近 7 交易日累计涨幅 (D1 close / T-6 close - 1); 现有字段无等价表达
recent_7d_max_drawdown,PROPOSED (data/cache/daily),D1_CLOSE,PROPOSED,RECENT_7D_PATH,,max_{t∈[T-6..D1]} (peak_high_t - low_t) / peak_high_t; peak_high_t = max(high_{T-6..t}),,0.0,,,NEW_REQUIRED,M2_PRIMARY_CANDIDATE,"7 日窗口内自峰值到后续低点的最大回撤; 严格时序公式, 仅用 <=D1 数据"
recent_7d_limit_up_count,PROPOSED (data/cache/daily),D1_CLOSE,PROPOSED,RECENT_7D_PATH,,"(提案, 未实现) 7 日窗口内涨停天数",,,,,NOT_NEEDED,NO_MODEL_INPUT,"7 日涨停次数 ≈ board_streak_before_break (本轮 2/3 板在窗口内), 重复表达"
